gender,age_category,map_disease_category,year_group,case,total_case,percentage_of_group
F,All ages,Mental disorders,2020 - 2022,1360,20669,6.579902269098651
F,All ages,Musculoskeletal disorders,2008 - 2010,7585,122266,6.203687043004597
F,All ages,Musculoskeletal disorders,2011 - 2013,3388,59047,5.73780208986062
F,All ages,Musculoskeletal disorders,2014 - 2016,2370,46222,5.1274284972523905
F,All ages,Musculoskeletal disorders,2017 - 2019,1751,35149,4.9816495490625625
F,All ages,Musculoskeletal disorders,2020 - 2022,1044,20669,5.051042624219846
F,All ages,Neglected tropical diseases and malaria,2008 - 2010,64,122266,0.05234488737670325
F,All ages,Neglected tropical diseases and malaria,2011 - 2013,37,59047,0.06266194726235033
F,All ages,Neglected tropical diseases and malaria,2014 - 2016,58,46222,0.12548137250659858
F,All ages,Neglected tropical diseases and malaria,2017 - 2019,29,35149,0.08250590343964266
F,All ages,Neglected tropical diseases and malaria,2020 - 2022,20,20669,0.09676326866321544
F,All ages,Neoplasms,2008 - 2010,6070,122266,4.964585412134199
F,All ages,Neoplasms,2011 - 2013,4085,59047,6.918217690991922
F,All ages,Neoplasms,2014 - 2016,3585,46222,7.756046904071654
F,All ages,Neoplasms,2017 - 2019,2846,35149,8.096958661697345
F,All ages,Neoplasms,2020 - 2022,1931,20669,9.34249358943345
F,All ages,Neurological disorders,2008 - 2010,5480,122266,4.482030981630216
F,All ages,Neurological disorders,2011 - 2013,2584,59047,4.376174911511169
F,All ages,Neurological disorders,2014 - 2016,2087,46222,4.5151659382977805
F,All ages,Neurological disorders,2017 - 2019,1644,35149,4.677231215681812
F,All ages,Neurological disorders,2020 - 2022,882,20669,4.267260148047801
F,All ages,Nutritional deficiencies,2008 - 2010,497,122266,0.4064907660347112
F,All ages,Nutritional deficiencies,2011 - 2013,237,59047,0.40137517570748726
F,All ages,Nutritional deficiencies,2014 - 2016,221,46222,0.478127298688936
F,All ages,Nutritional deficiencies,2017 - 2019,161,35149,0.4580500156476713
F,All ages,Nutritional deficiencies,2020 - 2022,102,20669,0.4934926701823988
F,All ages,Other infectious diseases,2008 - 2010,3627,122266,2.9664829143016047
F,All ages,Other infectious diseases,2011 - 2013,1970,59047,3.3363253001845985
F,All ages,Other infectious diseases,2014 - 2016,1789,46222,3.8704513002466356
F,All ages,Other infectious diseases,2017 - 2019,1340,35149,3.8123417451421093
F,All ages,Other infectious diseases,2020 - 2022,903,20669,4.368861580144177
F,All ages,Other non-communicable diseases,2008 - 2010,10772,122266,8.810298856591366
F,All ages,Other non-communicable diseases,2011 - 2013,5153,59047,8.726946330888953
F,All ages,Other non-communicable diseases,2014 - 2016,3763,46222,8.141144909350526
F,All ages,Other non-communicable diseases,2017 - 2019,2672,35149,7.60192324105949
F,All ages,Other non-communicable diseases,2020 - 2022,1355,20669,6.555711451932847
F,All ages,Respiratory infections and tuberculosis,2008 - 2010,4150,122266,3.3942387908331018
F,All ages,Respiratory infections and tuberculosis,2011 - 2013,1694,59047,2.86890104493031
F,All ages,Respiratory infections and tuberculosis,2014 - 2016,1195,46222,2.585348968023885
F,All ages,Respiratory infections and tuberculosis,2017 - 2019,761,35149,2.165068707502347
F,All ages,Respiratory infections and tuberculosis,2020 - 2022,612,20669,2.9609560210943924
F,All ages,Self-harm and interpersonal violence,2008 - 2010,1436,122266,1.1744884105147793
F,All ages,Self-harm and interpersonal violence,2011 - 2013,861,59047,1.4581604484563144
F,All ages,Self-harm and interpersonal violence,2014 - 2016,1289,46222,2.7887153303621655
F,All ages,Self-harm and interpersonal violence,2017 - 2019,1442,35149,4.102534922757404
F,All ages,Self-harm and interpersonal violence,2020 - 2022,862,20669,4.170496879384586
F,All ages,Sense organ diseases,2008 - 2010,632,122266,0.5169057628449446
F,All ages,Sense organ diseases,2011 - 2013,294,59047,0.4979084458143513
F,All ages,Sense organ diseases,2014 - 2016,236,46222,0.5105793777854701
F,All ages,Sense organ diseases,2017 - 2019,155,35149,0.44097982872912456
F,All ages,Sense organ diseases,2020 - 2022,89,20669,0.4305965455513088
F,All ages,Skin and subcutaneous diseases,2008 - 2010,3227,122266,2.6393273681972094
F,All ages,Skin and subcutaneous diseases,2011 - 2013,1378,59047,2.333734143986993
F,All ages,Skin and subcutaneous diseases,2014 - 2016,932,46222,2.016355847864653
F,All ages,Skin and subcutaneous diseases,2017 - 2019,566,35149,1.6102876326495774
F,All ages,Skin and subcutaneous diseases,2020 - 2022,313,20669,1.5143451545793216
F,All ages,Substance use disorders,2008 - 2010,1660,122266,1.3576955163332407
F,All ages,Substance use disorders,2011 - 2013,899,59047,1.5225159618608903
F,All ages,Substance use disorders,2014 - 2016,776,46222,1.6788542252606984
F,All ages,Substance use disorders,2017 - 2019,521,35149,1.4822612307604768
F,All ages,Substance use disorders,2020 - 2022,253,20669,1.2240553485896752
F,All ages,Transport injuries,2008 - 2010,429,122266,0.350874323196964
F,All ages,Transport injuries,2011 - 2013,324,59047,0.5487154300811218
F,All ages,Transport injuries,2014 - 2016,182,46222,0.39375189303794733
F,All ages,Transport injuries,2017 - 2019,165,35149,0.4694301402600358
F,All ages,Transport injuries,2020 - 2022,132,20669,0.6386375731772219
F,All ages,Unintentional injuries,2008 - 2010,5174,122266,4.2317569888603535
F,All ages,Unintentional injuries,2011 - 2013,2897,59047,4.906261114027808
F,All ages,Unintentional injuries,2014 - 2016,2484,46222,5.37406429838605
F,All ages,Unintentional injuries,2017 - 2019,2603,35149,7.405616091496202
F,All ages,Unintentional injuries,2020 - 2022,1838,20669,8.8925443901495
M,All ages,Cardiovascular diseases,2008 - 2010,20092,104750,19.18090692124105
M,All ages,Cardiovascular diseases,2011 - 2013,11134,55616,20.01941887226697
M,All ages,Cardiovascular diseases,2014 - 2016,9971,44715,22.2990048082299
M,All ages,Cardiovascular diseases,2017 - 2019,7601,34591,21.973923853025354
M,All ages,Cardiovascular diseases,2020 - 2022,4746,21707,21.863914866172202
M,All ages,Chronic respiratory diseases,2008 - 2010,8044,104750,7.679236276849642
M,All ages,Chronic respiratory diseases,2011 - 2013,3273,55616,5.884997123130034
M,All ages,Chronic respiratory diseases,2014 - 2016,1633,44715,3.6520183383652016
M,All ages,Chronic respiratory diseases,2017 - 2019,1004,34591,2.902489086756671
M,All ages,Chronic respiratory diseases,2020 - 2022,587,21707,2.7041968028746486
M,All ages,Diabetes and kidney diseases,2008 - 2010,7888,104750,7.530310262529833
M,All ages,Diabetes and kidney diseases,2011 - 2013,3205,55616,5.762730149597238
M,All ages,Diabetes and kidney diseases,2014 - 2016,2450,44715,5.479145700547915
M,All ages,Diabetes and kidney diseases,2017 - 2019,1863,34591,5.3857939926570495
M,All ages,Diabetes and kidney diseases,2020 - 2022,1065,21707,4.90625143962777
M,All ages,Digestive diseases,2008 - 2010,13616,104750,12.99856801909308
M,All ages,Digestive diseases,2011 - 2013,7488,55616,13.463751438434981
M,All ages,Digestive diseases,2014 - 2016,5795,44715,12.959856871295985
M,All ages,Digestive diseases,2017 - 2019,4429,34591,12.803908531120811
M,All ages,Digestive diseases,2020 - 2022,2619,21707,12.065232413507164
M,All ages,Enteric infections,2008 - 2010,841,104750,0.8028639618138425
M,All ages,Enteric infections,2011 - 2013,360,55616,0.6472957422324511
M,All ages,Enteric infections,2014 - 2016,259,44715,0.5792239740579224
M,All ages,Enteric infections,2017 - 2019,186,34591,0.5377121216501403
M,All ages,Enteric infections,2020 - 2022,78,21707,0.35933109135301977
M,All ages,HIV/AIDS and sexually transmitted infections,2008 - 2010,476,104750,0.4544152744630071
M,All ages,HIV/AIDS and sexually transmitted infections,2011 - 2013,182,55616,0.3272439585730725
M,All ages,HIV/AIDS and sexually transmitted infections,2014 - 2016,121,44715,0.27060270602706027
M,All ages,HIV/AIDS and sexually transmitted infections,2017 - 2019,52,34591,0.15032812003122198
M,All ages,HIV/AIDS and sexually transmitted infections,2020 - 2022,76,21707,0.35011747362601925
M,All ages,Maternal and neonatal disorders,2008 - 2010,67,104750,0.0639618138424821
M,All ages,Maternal and neonatal disorders,2011 - 2013,54,55616,0.09709436133486767
M,All ages,Maternal and neonatal disorders,2014 - 2016,86,44715,0.19232919601923293
M,All ages,Maternal and neonatal disorders,2017 - 2019,48,34591,0.13876441849035875
M,All ages,Maternal and neonatal disorders,2020 - 2022,37,21707,0.1704519279495094
M,All ages,Mental disorders,2008 - 2010,7285,104750,6.954653937947494
M,All ages,Mental disorders,2011 - 2013,4068,55616,7.314441887226697
M,All ages,Mental disorders,2014 - 2016,2817,44715,6.29989936262999
M,All ages,Mental disorders,2017 - 2019,2320,34591,6.706946893700673
M,All ages,Mental disorders,2020 - 2022,1291,21707,5.947390242778827
M,All ages,Musculoskeletal disorders,2008 - 2010,5254,104750,5.015751789976133
M,All ages,Musculoskeletal disorders,2011 - 2013,2902,55616,5.217922899884925
M,All ages,Musculoskeletal disorders,2014 - 2016,2124,44715,4.750083864475008
M,All ages,Musculoskeletal disorders,2017 - 2019,1526,34591,4.4115521378393225
M,All ages,Musculoskeletal disorders,2020 - 2022,989,21707,4.556133966001751
M,All ages,Neglected tropical diseases and malaria,2008 - 2010,106,104750,0.10119331742243437
M,All ages,Neglected tropical diseases and malaria,2011 - 2013,54,55616,0.09709436133486767
M,All ages,Neglected tropical diseases and malaria,2014 - 2016,57,44715,0.1274740020127474
M,All ages,Neglected tropical diseases and malaria,2017 - 2019,56,34591,0.16189182157208523
M,All ages,Neglected tropical diseases and malaria,2020 - 2022,38,21707,0.17505873681300962
M,All ages,Neoplasms,2008 - 2010,5914,104750,5.645823389021479
M,All ages,Neoplasms,2011 - 2013,4039,55616,7.262298619102417
M,All ages,Neoplasms,2014 - 2016,3269,44715,7.310745834731075
M,All ages,Neoplasms,2017 - 2019,2628,34591,7.597351912347142
M,All ages,Neoplasms,2020 - 2022,1938,21707,8.927995577463491
M,All ages,Neurological disorders,2008 - 2010,3920,104750,3.7422434367541766
M,All ages,Neurological disorders,2011 - 2013,2121,55616,3.8136507479861907
M,All ages,Neurological disorders,2014 - 2016,1789,44715,4.00089455440009
M,All ages,Neurological disorders,2017 - 2019,1362,34591,3.93744037466393
M,All ages,Neurological disorders,2020 - 2022,913,21707,4.206016492375731
M,All ages,Nutritional deficiencies,2008 - 2010,296,104750,0.2825775656324582
M,All ages,Nutritional deficiencies,2011 - 2013,149,55616,0.2679085155350978
M,All ages,Nutritional deficiencies,2014 - 2016,140,44715,0.31309404003130936
M,All ages,Nutritional deficiencies,2017 - 2019,127,34591,0.36714752392240757
M,All ages,Nutritional deficiencies,2020 - 2022,81,21707,0.3731515179435205
M,All ages,Other infectious diseases,2008 - 2010,3899,104750,3.7221957040572793
M,All ages,Other infectious diseases,2011 - 2013,2419,55616,4.349467779056386
M,All ages,Other infectious diseases,2014 - 2016,2139,44715,4.7836296544783625
M,All ages,Other infectious diseases,2017 - 2019,1607,34591,4.645717094041803
M,All ages,Other infectious diseases,2020 - 2022,1117,21707,5.145805500529783
M,All ages,Other non-communicable diseases,2008 - 2010,6271,104750,5.986634844868735
M,All ages,Other non-communicable diseases,2011 - 2013,3323,55616,5.974899309551208
M,All ages,Other non-communicable diseases,2014 - 2016,2649,44715,5.924186514592419
M,All ages,Other non-communicable diseases,2017 - 2019,1976,34591,5.712468561186436
M,All ages,Other non-communicable diseases,2020 - 2022,1209,21707,5.569631915971806
M,All ages,Respiratory infections and tuberculosis,2008 - 2010,4031,104750,3.8482100238663484
M,All ages,Respiratory infections and tuberculosis,2011 - 2013,1863,55616,3.3497554660529345
M,All ages,Respiratory infections and tuberculosis,2014 - 2016,1254,44715,2.8044280442804426
M,All ages,Respiratory infections and tuberculosis,2017 - 2019,891,34591,2.5758145182272845
M,All ages,Respiratory infections and tuberculosis,2020 - 2022,776,21707,3.574883678076197
M,All ages,Self-harm and interpersonal violence,2008 - 2010,1693,104750,1.6162291169451073
M,All ages,Self-harm and interpersonal violence,2011 - 2013,1269,55616,2.28171749136939
M,All ages,Self-harm and interpersonal violence,2014 - 2016,1767,44715,3.9516940623951697
M,All ages,Self-harm and interpersonal violence,2017 - 2019,1893,34591,5.472521754213524
M,All ages,Self-harm and interpersonal violence,2020 - 2022,1133,21707,5.219514442345787
M,All ages,Sense organ diseases,2008 - 2010,455,104750,0.43436754176610975
M,All ages,Sense organ diseases,2011 - 2013,265,55616,0.47648158803222096
M,All ages,Sense organ diseases,2014 - 2016,199,44715,0.445040814044504
M,All ages,Sense organ diseases,2017 - 2019,155,34591,0.44809343470845014
M,All ages,Sense organ diseases,2020 - 2022,82,21707,0.37775832680702076
M,All ages,Skin and subcutaneous diseases,2008 - 2010,3237,104750,3.090214797136038
M,All ages,Skin and subcutaneous diseases,2011 - 2013,1551,55616,2.7887658227848102
M,All ages,Skin and subcutaneous diseases,2014 - 2016,1042,44715,2.3303142122330316
M,All ages,Skin and subcutaneous diseases,2017 - 2019,740,34591,2.1392847850596977
M,All ages,Skin and subcutaneous diseases,2020 - 2022,379,21707,1.745980559266596
M,All ages,Substance use disorders,2008 - 2010,5987,104750,5.715513126491647
M,All ages,Substance use disorders,2011 - 2013,2503,55616,4.500503452243958
M,All ages,Substance use disorders,2014 - 2016,2300,44715,5.143687800514369
M,All ages,Substance use disorders,2017 - 2019,1231,34591,3.558729149200659
M,All ages,Substance use disorders,2020 - 2022,626,21707,2.8838623485511587
M,All ages,Transport injuries,2008 - 2010,713,104750,0.6806682577565633
M,All ages,Transport injuries,2011 - 2013,519,55616,0.9331846950517836
M,All ages,Transport injuries,2014 - 2016,342,44715,0.7648440120764843
M,All ages,Transport injuries,2017 - 2019,293,34591,0.8470411378682317
M,All ages,Transport injuries,2020 - 2022,282,21707,1.2991200995070715
M,All ages,Unintentional injuries,2008 - 2010,4665,104750,4.4534606205250595
M,All ages,Unintentional injuries,2011 - 2013,2875,55616,5.169375719217491
M,All ages,Unintentional injuries,2014 - 2016,2512,44715,5.61780163256178
M,All ages,Unintentional injuries,2017 - 2019,2603,34591,7.525078777716747
M,All ages,Unintentional injuries,2020 - 2022,1645,21707,7.578200580457917
Both,All ages,Cardiovascular diseases,2008 - 2010,37270,227016,16.417345032949218
Both,All ages,Cardiovascular diseases,2011 - 2013,19724,114663,17.201712845468894
Both,All ages,Cardiovascular diseases,2014 - 2016,17566,90937,19.31666978237681
Both,All ages,Cardiovascular diseases,2017 - 2019,13571,69740,19.459420705477488
Both,All ages,Cardiovascular diseases,2020 - 2022,8324,42376,19.643194260902398
Both,All ages,Chronic respiratory diseases,2008 - 2010,18014,227016,7.935123515523134
Both,All ages,Chronic respiratory diseases,2011 - 2013,6756,114663,5.892048873655844
Both,All ages,Chronic respiratory diseases,2014 - 2016,3585,90937,3.9422897170568634
Both,All ages,Chronic respiratory diseases,2017 - 2019,2018,69740,2.8936048178950387
Both,All ages,Chronic respiratory diseases,2020 - 2022,1109,42376,2.617047385312441
Both,All ages,Diabetes and kidney diseases,2008 - 2010,14764,227016,6.503506360785143
Both,All ages,Diabetes and kidney diseases,2011 - 2013,5604,114663,4.887365584364616
Both,All ages,Diabetes and kidney diseases,2014 - 2016,4085,90937,4.492120918877904
Both,All ages,Diabetes and kidney diseases,2017 - 2019,3244,69740,4.651562948092916
Both,All ages,Diabetes and kidney diseases,2020 - 2022,1687,42376,3.981026996413064
Both,All ages,Digestive diseases,2008 - 2010,30811,227016,13.572171124502239
Both,All ages,Digestive diseases,2011 - 2013,15688,114663,13.681832849306227
Both,All ages,Digestive diseases,2014 - 2016,11505,90937,12.651615953902152
Both,All ages,Digestive diseases,2017 - 2019,8502,69740,12.190995124749069
Both,All ages,Digestive diseases,2020 - 2022,5139,42376,12.127147441948273
Both,All ages,Enteric infections,2008 - 2010,2309,227016,1.0171089262430841
Both,All ages,Enteric infections,2011 - 2013,885,114663,0.7718270060961252
Both,All ages,Enteric infections,2014 - 2016,665,90937,0.7312754984219845
Both,All ages,Enteric infections,2017 - 2019,450,69740,0.6452537998279323
Both,All ages,Enteric infections,2020 - 2022,173,42376,0.40824995280347365
Both,All ages,HIV/AIDS and sexually transmitted infections,2008 - 2010,786,227016,0.34623110265355744
Both,All ages,HIV/AIDS and sexually transmitted infections,2011 - 2013,359,114663,0.31309140699266547
Both,All ages,HIV/AIDS and sexually transmitted infections,2014 - 2016,236,90937,0.25952032725953134
Both,All ages,HIV/AIDS and sexually transmitted infections,2017 - 2019,146,69740,0.20934901061084027
Both,All ages,HIV/AIDS and sexually transmitted infections,2020 - 2022,169,42376,0.3988106475363413
Both,All ages,Maternal and neonatal disorders,2008 - 2010,11312,227016,4.982908693660359
Both,All ages,Maternal and neonatal disorders,2011 - 2013,5996,114663,5.229236981415104
Both,All ages,Maternal and neonatal disorders,2014 - 2016,4999,90937,5.497212355806767
Both,All ages,Maternal and neonatal disorders,2017 - 2019,3377,69740,4.842271293375394
Both,All ages,Maternal and neonatal disorders,2020 - 2022,1580,42376,3.7285255805172737
Both,All ages,Mental disorders,2008 - 2010,14506,227016,6.389857983578249
Both,All ages,Mental disorders,2011 - 2013,7998,114663,6.975223044922949
Both,All ages,Mental disorders,2014 - 2016,5746,90937,6.3186601713274015
Both,All ages,Mental disorders,2017 - 2019,4688,69740,6.722110696874103
Both,All ages,Mental disorders,2020 - 2022,2651,42376,6.255899565791958
Both,All ages,Musculoskeletal disorders,2008 - 2010,12839,227016,5.655548507594179
Both,All ages,Musculoskeletal disorders,2011 - 2013,6290,114663,5.485640529202969
Both,All ages,Musculoskeletal disorders,2014 - 2016,4494,90937,4.941882841967516
Both,All ages,Musculoskeletal disorders,2017 - 2019,3277,69740,4.698881560080298
Both,All ages,Musculoskeletal disorders,2020 - 2022,2033,42376,4.797526902020011
Both,All ages,Neglected tropical diseases and malaria,2008 - 2010,170,227016,0.0748845896324488
Both,All ages,Neglected tropical diseases and malaria,2011 - 2013,91,114663,0.07936300288672021
Both,All ages,Neglected tropical diseases and malaria,2014 - 2016,115,90937,0.12646117641883942
Both,All ages,Neglected tropical diseases and malaria,2017 - 2019,85,69740,0.12188127330083166
Both,All ages,Neglected tropical diseases and malaria,2020 - 2022,58,42376,0.1368699263734189
Both,All ages,Neoplasms,2008 - 2010,11984,227016,5.278923071501569
Both,All ages,Neoplasms,2011 - 2013,8124,114663,7.085110279689176
Both,All ages,Neoplasms,2014 - 2016,6854,90937,7.53708611456283
Both,All ages,Neoplasms,2017 - 2019,5474,69740,7.849154000573559
Both,All ages,Neoplasms,2020 - 2022,3869,42376,9.130168019633755
Both,All ages,Neurological disorders,2008 - 2010,9400,227016,4.140677309088346
Both,All ages,Neurological disorders,2011 - 2013,4705,114663,4.103328885516689
Both,All ages,Neurological disorders,2014 - 2016,3876,90937,4.262291476516709
Both,All ages,Neurological disorders,2017 - 2019,3006,69740,4.3102953828505886
Both,All ages,Neurological disorders,2020 - 2022,1795,42376,4.235888238625638
Both,All ages,Nutritional deficiencies,2008 - 2010,793,227016,0.34931458575607005
Both,All ages,Nutritional deficiencies,2011 - 2013,386,114663,0.3366386715854286
Both,All ages,Nutritional deficiencies,2014 - 2016,361,90937,0.3969781277147915
Both,All ages,Nutritional deficiencies,2017 - 2019,288,69740,0.4129624318898767
Both,All ages,Nutritional deficiencies,2020 - 2022,183,42376,0.4318482159713045
Both,All ages,Other infectious diseases,2008 - 2010,7526,227016,3.3151848327871165
Both,All ages,Other infectious diseases,2011 - 2013,4389,114663,3.8277386776902746
Both,All ages,Other infectious diseases,2014 - 2016,3928,90937,4.3194739215060975
Both,All ages,Other infectious diseases,2017 - 2019,2947,69740,4.225695440206481
Both,All ages,Other infectious diseases,2020 - 2022,2020,42376,4.766849159901831
Both,All ages,Other non-communicable diseases,2008 - 2010,17043,227016,7.50740035944603
Both,All ages,Other non-communicable diseases,2011 - 2013,8476,114663,7.392096840305939
Both,All ages,Other non-communicable diseases,2014 - 2016,6412,90937,7.051035332153028
Both,All ages,Other non-communicable diseases,2017 - 2019,4648,69740,6.6647548035560655
Both,All ages,Other non-communicable diseases,2020 - 2022,2564,42376,6.05059467623183
Both,All ages,Respiratory infections and tuberculosis,2008 - 2010,8181,227016,3.6037107516650813
Both,All ages,Respiratory infections and tuberculosis,2011 - 2013,3557,114663,3.102134079868833
Both,All ages,Respiratory infections and tuberculosis,2014 - 2016,2449,90937,2.6930732265194584
Both,All ages,Respiratory infections and tuberculosis,2017 - 2019,1652,69740,2.368798394034987
Both,All ages,Respiratory infections and tuberculosis,2020 - 2022,1388,42376,3.2754389276949216
Both,All ages,Self-harm and interpersonal violence,2008 - 2010,3129,227016,1.3783169468231316
Both,All ages,Self-harm and interpersonal violence,2011 - 2013,2130,114663,1.857617540095759
Both,All ages,Self-harm and interpersonal violence,2014 - 2016,3056,90937,3.3605683055302022
Both,All ages,Self-harm and interpersonal violence,2017 - 2019,3335,69740,4.782047605391454
Both,All ages,Self-harm and interpersonal violence,2020 - 2022,1995,42376,4.707853501982254
Both,All ages,Sense organ diseases,2008 - 2010,1087,227016,0.4788208760615992
Both,All ages,Sense organ diseases,2011 - 2013,559,114663,0.4875155891612813
Both,All ages,Sense organ diseases,2014 - 2016,435,90937,0.47835314558430564
Both,All ages,Sense organ diseases,2017 - 2019,310,69740,0.44450817321479785
Both,All ages,Sense organ diseases,2020 - 2022,171,42376,0.40353030016990743
Both,All ages,Skin and subcutaneous diseases,2008 - 2010,6464,227016,2.8473763963773475
Both,All ages,Skin and subcutaneous diseases,2011 - 2013,2929,114663,2.5544421478593793
Both,All ages,Skin and subcutaneous diseases,2014 - 2016,1974,90937,2.1707335847894695
Both,All ages,Skin and subcutaneous diseases,2017 - 2019,1306,69740,1.8726699168339547
Both,All ages,Skin and subcutaneous diseases,2020 - 2022,692,42376,1.6329998112138946
Both,All ages,Substance use disorders,2008 - 2010,7647,227016,3.3684850407019766
Both,All ages,Substance use disorders,2011 - 2013,3402,114663,2.9669553386881558
Both,All ages,Substance use disorders,2014 - 2016,3076,90937,3.382561553603044
Both,All ages,Substance use disorders,2017 - 2019,1752,69740,2.512188127330083
Both,All ages,Substance use disorders,2020 - 2022,879,42376,2.0742873324523314
Both,All ages,Transport injuries,2008 - 2010,1142,227016,0.5030482432956267
Both,All ages,Transport injuries,2011 - 2013,843,114663,0.7351979278407158
Both,All ages,Transport injuries,2014 - 2016,524,90937,0.5762230995084509
Both,All ages,Transport injuries,2017 - 2019,458,69740,0.65672497849154
Both,All ages,Transport injuries,2020 - 2022,414,42376,0.976968095148197
Both,All ages,Unintentional injuries,2008 - 2010,9839,227016,4.334055749374493
Both,All ages,Unintentional injuries,2011 - 2013,5772,114663,5.033881897386254
Both,All ages,Unintentional injuries,2014 - 2016,4996,90937,5.493913368595841
Both,All ages,Unintentional injuries,2017 - 2019,5206,69740,7.464869515342701
Both,All ages,Unintentional injuries,2020 - 2022,3483,42376,8.219275061355484
